symptom_text,specialty
"chest pain, shortness of breath, palpitations",Cardiology
"sharp chest pain radiating to left arm, sweating",Cardiology
"irregular heartbeat, dizziness when standing up",Cardiology
"high blood pressure, headaches, chest tightness",Cardiology
"swollen ankles, fatigue, difficulty breathing while lying down",Cardiology
"racing heart, feeling like heart is skipping beats",Cardiology
"chest pressure during exercise, gets better with rest",Cardiology
"persistent high blood pressure despite medication",Cardiology
"fainting spells, lightheadedness, rapid pulse",Cardiology
"pain in chest when taking deep breaths, shortness of breath",Cardiology
"leg pain after walking short distances, cold feet",Cardiology
"heart murmur detected, occasional chest discomfort",Cardiology
"severe headache, worst headache of my life, stiff neck",Neurology
"numbness and tingling in hands and feet",Neurology
"recurring migraines with aura and vision changes",Neurology
"tremors in hands, difficulty with fine motor tasks",Neurology
"seizures, loss of consciousness, confusion after episodes",Neurology
"memory loss, difficulty concentrating, confusion",Neurology
"weakness on one side of body, slurred speech",Neurology
"chronic dizziness, balance problems, vertigo",Neurology
"sharp shooting pain down the leg, lower back pain",Neurology
"facial drooping, difficulty speaking, sudden onset",Neurology
"persistent pins and needles, burning sensation in feet",Neurology
"involuntary muscle movements, difficulty walking",Neurology
"knee pain, swelling after injury, difficulty bending",Orthopedics
"lower back pain radiating to hip, stiffness in morning",Orthopedics
"shoulder pain, cannot raise arm above head",Orthopedics
"wrist pain, swelling, possible fracture after fall",Orthopedics
"joint pain in multiple joints, morning stiffness lasting hours",Orthopedics
"ankle sprain, swelling, bruising, difficulty walking",Orthopedics
"chronic neck pain, reduced range of motion",Orthopedics
"hip pain, difficulty walking, grinding sensation",Orthopedics
"elbow pain, tennis elbow symptoms, pain gripping objects",Orthopedics
"foot pain, heel pain especially in morning, plantar fasciitis",Orthopedics
"broken bone, visible deformity, severe pain after accident",Orthopedics
"clicking sound in jaw, difficulty opening mouth wide",Orthopedics
"skin rash, itching, red patches on arms and legs",Dermatology
"acne breakouts, oily skin, cystic pimples on face",Dermatology
"mole changed color and size, irregular borders",Dermatology
"dry flaky skin, eczema patches, constant itching",Dermatology
"hair loss, thinning hair, bald patches on scalp",Dermatology
"fungal infection between toes, peeling skin, itching",Dermatology
"psoriasis flare-up, silvery scales on elbows and knees",Dermatology
"hives, swollen welts on skin, allergic reaction",Dermatology
"warts on hands, spreading to other fingers",Dermatology
